run,evaluations,avg_weight,max_weight,avg_material,max_material
11,500,-97412000.0,-49000000.0,480.1766177649361,151.97185103333427
11,1000,-94988000.0,0,426.3694345610413,151.97185103333427
11,1500,-92518000.0,0,391.2302282318602,139.99948441108774
11,2000,-90216000.0,0,367.7343284105146,139.99913029113924
11,2500,-87132000.0,0,344.6052298260832,139.99913029113924
11,3000,-84868000.0,0,332.5940014616381,139.99913029113924
11,3500,-81628000.0,0,323.6934082503509,139.99913029113924
11,4000,-78358000.0,0,306.3579969563336,139.99913029113924
11,4500,-75298000.0,0,288.02223906217,139.99912268815484
11,5000,-71602000.0,0,279.9667283688972,139.9991036665235
12,500,-97568000.0,-72000000.0,478.19043609278197,185.9621461400228
12,1000,-95770000.0,0,425.31193680527724,185.9621461400228
12,1500,-93474000.0,0,391.4326191032488,179.8768798429226
12,2000,-91670000.0,0,360.78001717496244,139.99913315158938
12,2500,-89888000.0,0,330.9441462555557,139.99913315158938
12,3000,-86852000.0,0,316.23872915798194,139.99913315158938
12,3500,-83424000.0,0,299.0058555675208,139.99910268824982
12,4000,-80048000.0,0,277.65126141198624,139.99910268824982
12,4500,-77044000.0,0,256.07855839692724,139.99910268824982
12,5000,-73862000.0,0,241.27758794925666,139.99910268824982
13,500,-97296000.0,-44999999.99999999,480.7332813444004,166.13721643841953
13,1000,-94600000.0,4000000,419.07791055352783,139.9994868390651
13,1500,-92454000.0,4000000,388.5699703156871,139.9993238219095
13,2000,-90412000.0,4000000,361.38896179620457,139.99927343977888
13,2500,-88034000.0,4000000,342.29992860882805,139.9991525712712
13,3000,-85503000.0,4000000,322.11565855977074,139.9991525712712
13,3500,-82587000.0,4000000,308.26434209983216,139.9991337923219
13,4000,-78677000.0,4000000,286.96076466272825,139.9991337923219
13,4500,-75145000.0,4000000,269.2018199104794,139.9991337923219
13,5000,-71466000.0,4000000,260.62175621254903,139.99913135450538
14,500,-97448000.0,-17999999.999999993,476.79973412400125,182.59052710776058
14,1000,-95398000.0,0,420.0015504317287,174.4254213485287
